test,type,wall_time_s,user_time_s,sys_time_s,peak_mem_kb
"sunspider-1.0/3d-cube.js",main,0.020000,0.010000,0.010000,18048
"sunspider-1.0/3d-morph.js",main,0.020000,0.010000,0.000000,18368
"sunspider-1.0/3d-raytrace.js",main,0.020000,0.010000,0.000000,17920
"sunspider-1.0/access-binary-trees.js",main,0.010000,0.000000,0.000000,16256
"sunspider-1.0/access-fannkuch.js",main,0.040000,0.030000,0.010000,15232
"sunspider-1.0/access-nbody.js",main,0.020000,0.010000,0.000000,17664
"sunspider-1.0/access-nsieve.js",main,0.010000,0.010000,0.000000,15744
"sunspider-1.0/bitops-3bit-bits-in-byte.js",main,0.010000,0.000000,0.000000,15104
"sunspider-1.0/bitops-bits-in-byte.js",main,0.020000,0.010000,0.000000,15104
"sunspider-1.0/bitops-bitwise-and.js",main,0.020000,0.010000,0.000000,15104
"sunspider-1.0/bitops-nsieve-bits.js",main,0.020000,0.010000,0.010000,17536
"sunspider-1.0/controlflow-recursive.js",main,0.010000,0.000000,0.000000,14592
"sunspider-1.0/crypto-aes.js",main,0.020000,0.010000,0.000000,17664
"sunspider-1.0/crypto-md5.js",main,0.010000,0.000000,0.010000,17664
"sunspider-1.0/crypto-sha1.js",main,0.010000,0.010000,0.000000,17920
"sunspider-1.0/date-format-tofte.js",main,0.010000,0.000000,0.000000,17408
"sunspider-1.0/date-format-xparb.js",main,0.010000,0.000000,0.000000,18048
"sunspider-1.0/math-cordic.js",main,0.020000,0.010000,0.000000,17536
"sunspider-1.0/math-partial-sums.js",main,0.010000,0.010000,0.000000,17536
"sunspider-1.0/math-spectral-norm.js",main,0.010000,0.000000,0.000000,17408
"sunspider-1.0/regexp-dna.js",main,0.040000,0.030000,0.010000,17748
"sunspider-1.0/string-base64.js",main,0.010000,0.000000,0.000000,17408
"sunspider-1.0/string-fasta.js",main,0.020000,0.010000,0.000000,17920
"sunspider-1.0/string-tagcloud.js",main,0.020000,0.010000,0.010000,21864
"sunspider-1.0/string-unpack-code.js",main,0.020000,0.010000,0.000000,19848
"sunspider-1.0/string-validate-input.js",main,0.010000,0.010000,0.000000,18560
